,x
0,0
1,1
2,0
3,0
4,0
5,2
6,2
7,0
8,1
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,2
22,2
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,0
40,0
41,0
42,0
43,0
44,2
45,0
46,2
47,1
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,1
61,0
62,0
63,2
64,0
65,0
66,0
67,3
68,2
69,0
70,2
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,2
79,0
80,1
81,0
82,1
83,2
84,2
85,0
86,1
87,2
88,0
89,0
90,3
91,1
92,1
93,2
94,2
95,0
96,0
97,1
98,0
99,1
100,0
101,1
102,0
103,1
104,0
105,1
106,1
107,2
108,1
109,2
110,0
111,0
112,3
113,2
114,0
115,0
116,2
117,1
118,1
119,1
120,0
121,1
122,3
123,0
124,0
125,1
126,0
127,2
128,0
129,1
130,1
131,2
132,0
133,1
134,1
135,1
136,1
137,1
138,4
139,3
140,0
141,0
142,0
143,3
144,0
145,1
146,0
147,1
148,1
149,2
150,1
151,2
152,2
153,1
154,2
155,2
156,1
157,1
158,1
159,0
160,2
161,1
162,1
163,4
164,1
165,0
166,0
167,3
168,0
169,1
170,3
171,0
172,3
173,3
174,2
175,1
176,0
177,1
178,1
179,0
180,0
181,0
182,2
183,0
184,1
185,2
186,0
187,3
188,2
189,1
190,2
191,0
192,0
193,0
194,0
195,1
196,2
197,2
198,0
199,0
200,1
201,2
202,2
203,1
204,1
205,0
206,3
207,2
208,1
209,2
210,0
211,2
212,1
213,0
214,1
215,2
216,1
217,1
218,2
219,2
220,0
221,1
222,1
223,0
224,1
225,0
226,0
227,1
228,0
229,1
230,1
231,1
232,0
233,3
234,2
235,0
236,0
237,1
238,0
239,1
240,2
241,1
242,3
243,3
244,1
245,1
246,0
247,0
248,1
249,3
250,2
251,1
252,0
253,3
254,1
255,3
256,3
257,2
258,0
259,2
260,1
261,0
262,1
263,1
264,1
265,1
266,1
267,3
268,1
269,3
270,4
271,4
272,0
273,0
274,1
275,0
276,0
277,1
278,1
279,0
280,1
281,1
282,0
283,1
284,3
285,1
286,0
287,1
288,1
289,1
290,2
291,0
292,3
293,1
294,1
295,3
296,2
297,0
298,2
299,1
300,1
301,1
302,2
303,0
304,4
305,1
306,1
307,1
308,1
309,3
310,4
311,1
312,1
313,2
314,2
315,3
316,1
317,1
318,0
319,2
320,2
321,2
322,1
323,0
324,1
325,0
326,0
327,0
328,1
329,1
330,1
331,3
332,0
333,1
334,2
335,1
336,1
337,2
338,0
339,1
340,2
341,1
342,1
343,4
344,0
345,1
346,2
347,2
348,2
349,2
350,1
351,1
352,1
353,1
354,1
355,3
356,1
357,1
358,0
359,3
360,0
361,3
362,1
363,1
364,1
365,2
366,1
367,1
368,0
369,1
370,1
371,1
372,3
373,2
374,1
375,0
376,1
377,2
378,1
379,1
380,1
381,2
382,1
383,1
384,1
385,2
386,1
387,3
388,2
389,3
390,1
391,1
392,3
393,2
394,1
395,3
396,0
397,0
398,2
399,0
400,1
401,0
402,0
403,1
404,1
405,1
406,3
407,1
408,1
409,1
410,3
411,1
412,2
413,1
414,0
415,2
416,1
417,1
418,4
419,1
420,0
421,2
422,1
423,1
424,2
425,2
426,1
427,1
428,2
429,2
430,1
431,0
432,1
433,1
434,1
435,2
436,2
437,1
438,2
439,1
440,1
441,1
442,1
443,2
444,1
445,1
446,0
447,1
448,1
449,0
450,1
451,1
452,1
453,1
454,1
455,2
456,1
457,1
458,0
459,4
460,1
461,1
462,1
463,0
464,4
465,1
466,0
467,3
468,3
469,0
470,1
471,0
472,1
473,2
474,2
475,3
476,1
477,1
478,1
479,0
480,2
481,1
482,1
483,1
484,1
485,0
486,0
487,4
488,2
489,1
490,2
491,4
492,2
493,0
494,0
495,1
496,0
497,1
498,1
499,2
500,2
501,2
502,1
503,0
504,3
505,0
506,3
507,2
508,1
509,3
510,0
511,2
512,0
513,0
514,1
515,3
516,0
517,1
518,3
519,1
520,0
521,4
522,1
523,2
524,1
525,4
526,3
527,0
528,3
529,1
530,1
531,3
532,1
533,1
534,0
535,1
536,3
537,1
538,1
539,3
540,3
541,3
542,1
543,1
544,2
545,3
546,1
547,0
548,0
549,0
550,3
551,1
552,2
553,1
554,2
555,1
556,1
557,2
558,3
559,3
560,1
561,0
562,2
563,3
564,4
565,0
566,1
567,1
568,4
569,2
570,4
571,1
572,3
573,1
574,3
575,1
576,3
577,1
578,2
579,2
580,0
581,0
582,1
583,2
584,1
585,1
586,1
587,3
588,2
589,2
590,1
591,4
592,3
593,0
594,1
595,2
596,1
597,3
598,0
599,1
600,1
601,3
602,1
603,4
604,2
605,0
606,1
607,1
608,1
609,1
610,2
611,0
612,1
613,3
614,1
615,0
616,1
617,3
618,3
619,3
620,2
621,1
622,1
623,1
624,4
625,0
626,2
627,1
628,0
629,1
630,1
631,1
632,1
633,1
634,3
635,4
636,1
637,1
638,1
639,1
640,0
641,1
642,3
643,3
644,1
645,1
646,3
647,1
648,0
649,0
650,1
651,1
652,1
653,3
654,2
655,3
656,0
657,1
658,0
659,1
660,1
661,1
662,1
663,3
664,3
665,2
666,1
667,0
668,3
669,4
670,1
671,1
672,1
673,0
674,0
675,0
676,1
677,1
678,1
679,4
680,0
681,1
682,3
683,3
684,3
685,1
686,3
687,4
688,2
689,1
690,3
691,1
692,3
693,1
694,0
695,3
696,3
697,1
698,3
699,0
700,3
701,1
702,3
703,1
704,4
705,2
706,1
707,2
708,3
709,1
710,1
711,3
712,1
713,0
714,1
715,2
716,3
717,0
718,1
719,3
720,1
721,0
722,4
723,4
724,2
725,2
726,0
727,4
728,0
729,4
730,1
731,0
732,4
733,2
734,1
735,1
736,0
737,1
738,3
739,0
740,3
741,3
742,3
743,4
744,3
745,0
746,1
747,1
748,3
749,1
750,0
751,1
752,3
753,3
754,1
755,1
756,1
757,1
758,0
759,3
760,0
761,0
762,2
763,1
764,1
765,1
766,3
767,1
768,1
769,3
770,4
771,1
772,3
773,3
774,1
775,0
776,2
777,1
778,0
779,4
780,0
781,1
782,0
783,1
784,3
785,1
786,1
787,0
788,1
789,1
790,1
791,3
792,1
793,0
794,0
795,4
796,2
797,1
798,1
799,1
800,0
801,0
802,3
803,2
804,1
805,0
806,0
807,3
808,0
809,1
810,2
811,1
812,2
813,3
814,3
815,1
816,1
817,1
818,2
819,1
820,4
821,2
822,2
823,1
824,2
825,3
826,3
827,3
828,1
829,3
830,0
831,0
832,3
833,3
834,1
835,1
836,1
837,2
838,3
839,3
840,3
841,3
842,3
843,1
844,3
845,2
846,0
847,1
848,2
849,0
850,1
851,1
852,0
853,1
854,4
855,3
856,3
857,1
858,0
859,2
860,1
861,3
862,4
863,2
864,2
865,3
866,1
867,0
868,1
869,1
870,2
871,3
872,2
873,3
874,0
875,4
876,3
877,1
878,1
879,1
880,2
881,3
882,3
883,1
884,1
885,1
886,3
887,2
888,2
889,0
890,1
891,1
892,1
893,1
894,3
895,1
896,0
897,1
898,4
899,3
900,3
901,4
902,0
903,1
904,1
905,3
906,0
907,1
908,0
909,3
910,2
911,1
912,2
913,2
914,2
915,1
916,1
917,2
918,2
919,3
920,1
921,2
922,2
923,2
924,3
925,3
926,1
927,3
928,2
929,0
930,3
931,1
932,2
933,0
934,0
935,2
936,3
937,4
938,2
939,3
940,1
941,0
942,4
943,3
944,1
945,3
946,4
947,0
948,3
949,3
950,0
951,0
952,3
953,0
954,0
955,1
956,0
957,3
958,1
959,3
960,3
961,4
962,0
963,3
964,3
965,1
966,2
967,3
968,3
969,3
970,2
971,3
972,1
973,3
974,1
975,1
976,4
977,0
978,2
979,0
980,1
981,2
982,0
983,3
984,2
985,1
986,0
987,3
988,3
989,4
990,0
991,2
992,0
993,3
994,3
995,1
996,0
997,2
998,3
999,3
1000,3
1001,3
1002,0
1003,3
1004,1
1005,1
1006,4
1007,4
1008,1
1009,3
1010,3
1011,3
1012,1
1013,0
1014,1
1015,2
1016,1
1017,3
1018,3
1019,4
1020,0
1021,4
1022,1
1023,4
1024,1
1025,3
1026,2
1027,2
1028,1
1029,1
1030,1
1031,0
1032,3
1033,1
1034,4
1035,4
1036,4
1037,3
1038,4
1039,4
1040,0
1041,4
1042,3
1043,1
1044,0
1045,4
1046,1
1047,3
1048,4
1049,3
1050,1
1051,1
1052,1
1053,3
1054,4
1055,3
1056,1
1057,0
1058,0
1059,2
1060,3
