,x
0,0
1,1
2,2
3,3
4,1
5,0
6,2
7,0
8,3
9,3
10,2
11,4
12,2
13,1
14,0
15,2
16,4
17,1
18,2
19,3
20,1
21,1
22,4
23,0
24,0
25,0
26,4
27,3
28,0
29,0
30,0
31,1
32,0
33,4
34,2
35,2
36,1
37,4
38,1
39,1
40,3
41,0
42,3
43,0
44,4
45,2
46,0
47,4
48,4
49,2
50,4
51,1
52,1
53,4
54,0
55,2
56,0
57,0
58,0
59,1
60,2
61,0
62,3
63,1
64,4
65,3
66,3
67,1
68,4
69,3
70,1
71,0
72,3
73,2
74,1
75,2
76,4
77,4
78,4
79,1
80,3
81,4
82,3
83,1
84,4
85,4
86,1
87,4
88,4
89,1
90,3
91,2
92,0
93,1
94,0
95,0
96,3
97,1
98,1
99,0
100,1
101,0
102,2
103,3
104,1
105,1
106,0
107,1
108,4
109,1
110,1
111,3
112,1
113,2
114,1
115,1
116,0
117,1
118,2
119,1
120,2
121,1
122,2
123,3
124,4
125,1
126,2
127,0
128,1
129,1
130,2
131,0
132,2
133,4
134,0
135,1
136,0
137,1
138,3
139,4
140,2
141,4
142,2
143,2
144,1
145,1
146,1
147,0
148,2
149,1
150,2
151,4
152,3
153,4
154,4
155,4
156,2
157,4
158,1
159,0
160,0
161,0
162,0
163,4
164,1
165,1
166,2
167,1
168,2
169,0
170,1
171,0
172,1
173,4
174,0
175,3
176,0
177,0
178,4
179,1
180,0
181,1
182,3
183,3
184,1
185,1
186,1
187,4
188,4
189,0
190,4
191,3
192,4
193,4
194,2
195,3
196,0
197,4
198,1
199,1
200,4
201,2
202,2
203,0
204,4
205,1
206,1
207,3
208,4
209,0
210,3
211,0
212,4
213,2
214,1
215,1
216,2
217,0
218,2
219,1
220,0
221,3
222,3
223,2
224,3
225,2
226,3
227,4
228,4
229,4
230,3
231,0
232,1
233,2
234,0
235,4
236,3
237,0
238,0
239,4
240,0
241,0
242,2
243,1
244,0
245,0
246,4
247,2
248,0
249,4
250,3
251,3
252,2
253,2
254,0
255,0
256,1
257,0
258,0
259,1
260,3
261,0
262,1
263,1
264,0
265,1
266,0
267,4
268,4
269,1
270,0
271,0
272,0
273,0
274,0
275,4
276,0
277,4
278,0
279,1
280,2
281,2
282,1
283,0
284,2
285,1
286,2
287,4
288,0
289,4
290,0
291,1
292,2
293,3
294,1
295,2
296,0
297,0
298,1
299,2
300,4
301,1
302,4
303,0
304,1
305,1
306,1
307,1
308,3
309,0
310,1
311,4
312,1
313,1
314,0
315,0
316,3
317,4
318,0
319,4
320,2
321,2
322,3
323,0
324,1
325,1
326,4
327,1
328,0
329,1
330,4
331,0
332,0
333,0
334,1
335,1
336,4
337,1
338,0
339,1
340,1
341,3
342,2
343,1
344,1
345,1
346,3
347,0
348,4
349,0
350,0
351,1
352,1
353,1
354,1
355,3
356,1
357,2
358,1
359,1
360,4
361,4
362,4
363,2
364,1
365,1
366,1
367,1
368,0
369,1
370,4
371,0
372,1
373,3
374,2
375,0
376,1
377,1
378,1
379,1
380,4
381,3
382,0
383,1
384,2
385,0
386,3
387,1
388,0
389,3
390,4
391,3
392,2
393,0
394,1
395,1
396,1
397,0
398,1
399,0
400,1
401,1
402,1
403,1
404,2
405,1
406,2
407,0
408,0
409,3
410,0
411,0
412,1
413,2
414,0
415,1
416,0
417,0
418,4
419,1
420,2
421,1
422,0
423,0
424,2
425,2
426,2
427,0
428,1
429,4
430,0
431,3
432,2
433,0
434,0
435,1
436,1
437,2
438,0
439,1
440,1
441,1
442,2
443,3
444,1
445,4
446,1
447,0
448,0
449,1
450,2
451,3
452,1
453,1
454,2
455,3
456,1
457,1
458,1
459,1
460,2
461,3
462,1
463,1
464,0
465,1
466,0
467,0
468,2
469,3
470,4
471,1
472,1
473,0
474,0
475,4
476,1
477,0
478,0
479,4
480,1
481,1
482,3
483,1
484,0
485,4
486,3
487,1
488,2
489,0
490,1
491,2
492,2
493,1
494,0
495,1
496,1
497,1
498,0
499,1
500,0
501,2
502,3
503,1
504,1
505,0
506,0
507,3
508,1
509,2
510,0
511,4
512,4
513,3
514,1
515,2
516,4
517,1
518,1
519,1
520,4
521,0
522,0
523,3
524,1
525,1
526,2
527,4
528,0
529,0
530,1
531,1
532,1
533,3
534,1
535,0
536,0
537,2
538,1
539,1
540,1
541,0
542,1
543,0
544,1
545,2
546,4
547,0
548,1
549,1
550,0
551,1
552,0
553,2
554,3
555,1
556,4
557,1
558,0
559,2
560,4
561,3
562,0
563,4
564,2
565,0
566,0
567,4
568,1
569,1
