,x
0,0
1,1
2,2
3,3
4,4
5,0
6,0
7,1
8,0
9,0
10,5
11,5
12,0
13,0
14,0
15,3
16,3
17,5
18,0
19,4
20,5
21,2
22,5
23,0
24,3
25,4
26,5
27,5
28,5
29,0
30,0
31,6
32,4
33,4
34,6
35,5
36,5
37,0
38,2
39,4
40,4
41,5
42,0
43,5
44,0
45,4
46,5
47,4
48,4
49,5
50,4
51,0
52,4
53,0
54,3
55,5
56,4
57,7
58,5
59,0
60,5
61,0
62,0
63,5
64,5
65,6
66,4
67,0
68,4
69,0
70,3
71,5
72,5
73,1
74,3
75,4
76,0
77,5
78,5
79,5
80,0
81,6
82,0
83,5
84,0
85,3
86,0
87,0
88,0
89,6
90,0
91,2
92,4
93,6
94,5
95,5
96,3
97,5
98,4
99,3
100,5
101,3
102,0
103,5
104,3
105,0
106,1
107,5
108,4
109,5
110,5
111,5
112,4
113,4
114,0
115,2
116,5
117,4
118,0
119,5
120,0
121,0
122,4
123,5
124,0
125,5
126,2
127,0
128,5
129,4
130,4
131,0
132,5
133,5
134,0
135,4
136,2
137,5
138,0
139,4
140,0
141,5
142,4
143,6
144,0
145,4
146,0
147,0
148,3
149,0
150,6
151,0
152,4
153,0
154,4
155,5
156,4
157,5
158,4
159,5
160,5
161,4
162,0
163,5
164,0
165,5
166,0
167,5
168,4
169,4
170,4
171,0
172,3
173,4
174,5
175,5
176,0
177,0
178,5
179,6
180,4
181,0
182,1
183,2
184,0
185,0
186,0
187,2
188,0
189,6
190,0
191,6
192,2
193,0
194,0
195,0
196,0
197,3
198,3
199,0
200,0
201,0
202,6
203,0
204,2
205,0
206,6
207,3
208,0
209,0
210,3
211,3
212,0
213,2
214,0
215,2
216,0
217,0
218,3
219,2
220,0
221,0
222,3
223,3
224,4
225,0
226,2
227,2
228,6
229,0
230,0
231,7
232,0
233,4
234,6
235,6
236,5
237,0
238,3
239,6
240,6
241,6
242,2
243,3
244,0
245,3
246,3
247,3
248,0
249,3
250,3
251,2
252,3
253,6
254,0
255,3
256,0
257,6
258,3
259,2
260,3
261,7
262,0
263,2
264,3
265,0
266,4
267,0
268,2
269,2
270,3
271,4
272,0
273,0
274,2
275,3
276,6
277,3
278,0
279,3
280,0
281,3
282,3
283,0
284,3
285,0
286,0
287,2
288,0
289,0
290,0
291,0
292,0
293,6
294,6
295,0
296,2
297,6
298,0
299,4
300,3
301,0
302,0
303,3
304,4
305,3
306,4
307,6
308,6
309,3
310,4
311,3
312,4
313,6
314,4
315,3
316,0
317,6
318,0
319,3
320,0
321,3
322,0
323,0
324,0
325,6
326,3
327,3
328,3
329,2
330,0
331,6
332,4
333,3
334,0
335,0
336,6
337,0
338,0
339,6
340,0
341,3
342,5
343,3
344,2
345,2
346,2
347,3
348,2
349,6
350,6
351,4
352,0
353,3
354,0
355,3
356,3
357,0
358,3
359,0
360,0
361,0
362,6
363,0
364,0
365,3
366,3
367,0
368,3
369,0
370,0
371,2
372,6
373,2
374,0
375,3
376,0
377,3
378,3
379,0
380,0
381,0
382,2
383,2
384,3
385,0
386,3
387,3
388,0
389,3
390,2
391,6
392,0
393,7
394,0
395,0
396,0
397,3
398,0
399,0
400,2
401,3
402,0
403,2
404,3
405,3
406,0
407,0
408,3
409,0
410,6
411,6
412,0
413,6
414,7
415,0
416,0
417,0
418,0
419,0
420,2
421,0
422,3
423,6
424,0
425,3
426,0
427,0
428,3
429,0
430,0
431,0
432,3
433,0
434,0
435,0
436,0
437,3
438,2
439,3
440,2
441,3
442,4
443,0
444,4
445,6
446,0
447,0
448,0
449,3
450,0
451,0
452,0
453,0
454,0
455,3
456,0
457,0
458,0
459,3
460,2
461,0
462,0
463,3
464,0
465,0
466,0
467,3
468,0
469,0
470,0
471,3
472,0
473,2
474,7
475,2
477,0
478,6
479,3
480,2
481,3
482,0
483,3
484,0
485,6
486,0
487,0
488,3
489,0
490,3
491,3
492,0
493,0
494,0
495,3
496,3
497,3
498,3
499,0
500,3
501,0
502,2
503,0
504,3
505,0
506,2
507,3
508,0
509,3
510,3
511,0
512,0
513,2
514,3
515,0
516,6
517,3
518,3
519,0
520,3
521,0
522,0
523,3
524,0
525,3
526,3
527,3
528,3
529,4
530,0
531,2
532,0
533,0
534,3
535,3
536,0
537,5
538,0
539,2
540,2
541,6
542,6
543,0
544,2
545,3
546,0
547,4
548,3
549,0
550,0
551,3
552,6
553,6
554,0
555,6
556,2
557,6
558,3
559,0
560,0
561,0
562,2
563,0
564,0
565,0
566,3
567,0
568,2
569,3
570,6
571,0
572,0
573,3
574,0
575,0
576,0
577,3
578,2
579,2
580,0
581,3
582,0
583,0
584,0
585,0
586,6
587,3
588,0
589,0
590,3
591,0
592,3
593,2
594,0
595,0
596,2
597,3
598,0
599,3
600,3
601,3
602,0
603,3
604,3
605,0
606,0
607,0
608,2
609,6
610,0
611,0
612,0
613,0
614,0
615,3
616,3
617,2
618,5
619,0
620,6
621,3
622,3
623,3
624,1
625,2
626,4
627,2
628,6
629,0
630,2
631,6
632,3
633,0
634,0
635,6
636,6
637,6
638,3
639,0
640,3
641,6
642,3
643,3
644,0
645,0
646,3
647,0
648,0
649,3
650,5
651,0
652,0
653,3
654,2
655,0
656,0
657,0
658,3
659,0
660,6
661,6
662,4
663,2
664,0
665,0
666,3
667,3
668,0
670,0
671,0
672,3
673,3
674,0
675,6
676,2
677,2
678,0
679,2
680,0
681,0
682,0
683,3
684,3
685,3
686,0
687,0
688,6
689,6
690,0
691,7
692,0
693,3
694,2
695,3
696,3
697,2
698,0
699,2
700,0
701,6
702,0
703,3
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,3
712,0
713,0
714,0
715,0
716,6
717,0
718,2
719,6
720,3
721,3
722,0
723,3
724,2
725,0
726,0
727,0
728,0
729,2
730,4
731,0
732,0
733,0
734,3
735,2
736,2
737,2
738,3
739,4
740,0
741,0
742,2
743,2
744,2
745,0
746,2
747,0
748,3
749,3
750,4
751,3
752,3
753,3
754,3
755,0
756,0
757,5
758,2
759,5
760,0
761,5
762,3
763,3
764,4
765,3
766,2
767,4
768,0
769,5
770,3
771,5
772,5
773,7
774,0
775,5
776,3
777,5
778,3
779,3
780,0
781,0
782,2
783,3
784,0
785,7
786,3
787,4
788,0
789,1
790,0
791,0
792,5
793,5
794,0
795,3
796,5
797,0
798,4
799,5
800,0
801,3
802,3
803,4
804,3
805,5
806,0
807,0
808,0
809,4
810,3
811,0
812,6
813,0
814,0
815,3
816,0
817,5
818,4
819,3
820,3
821,0
822,4
823,4
824,0
825,6
826,3
827,6
828,4
829,4
830,4
831,0
832,3
833,0
834,5
835,0
836,4
837,0
838,0
839,4
840,3
841,0
842,3
843,4
844,2
845,5
846,0
847,0
848,4
849,0
850,2
851,0
852,0
853,5
854,4
855,5
856,7
857,4
858,4
859,0
860,3
861,7
862,5
863,3
864,3
865,2
866,5
867,0
868,0
869,0
870,3
871,4
872,2
873,4
874,5
875,0
876,4
877,4
878,3
879,0
880,0
881,3
882,3
883,3
884,3
885,0
886,3
887,5
888,4
889,6
890,0
891,0
892,3
893,4
894,6
895,5
896,7
897,0
898,0
899,3
900,3
901,0
902,4
903,5
904,2
905,3
906,3
907,4
908,0
909,5
910,4
911,4
912,4
913,2
914,7
915,0
916,0
917,5
918,4
919,7
920,5
921,4
922,0
923,7
924,3
925,0
926,4
927,5
928,0
929,0
930,3
931,0
932,3
933,4
934,0
935,5
936,7
937,2
938,3
939,0
940,0
941,4
942,3
943,5
944,0
945,4
946,5
947,0
948,0
949,0
950,6
951,3
952,0
953,3
954,0
955,5
956,4
957,0
958,0
959,5
960,2
961,2
962,3
963,0
964,0
965,4
966,5
967,3
968,0
969,5
970,3
971,0
972,6
973,0
974,7
975,5
976,6
977,2
978,5
979,5
980,4
981,3
982,2
983,3
984,5
985,0
986,1
987,6
988,5
989,3
990,0
991,6
992,5
993,0
994,4
995,4
996,4
997,3
998,0
999,0
1000,5
1001,3
1002,2
1003,5
1004,0
1005,0
1006,3
1007,0
1008,0
1009,2
1010,6
1011,0
1012,0
1013,0
1014,2
1015,5
1016,3
1017,0
1018,5
1019,5
1020,6
1021,7
1022,3
1023,0
1024,3
1025,0
1026,3
1027,0
1028,0
1029,0
1030,3
1031,0
1032,0
1033,2
1034,0
1035,0
1036,0
1037,0
1038,4
1039,3
1040,4
1041,5
1042,6
1043,4
1044,3
1045,6
1046,5
1047,0
1048,5
1049,3
1050,3
1051,2
1052,0
1053,5
1054,3
1055,0
1056,3
1057,0
1058,0
1059,0
1060,5
1061,4
1062,4
