,x
0,0
1,1
2,0
3,2
4,1
5,3
6,4
7,0
8,0
9,5
10,1
11,1
12,1
13,1
14,3
15,1
16,1
17,4
18,0
19,1
20,6
21,4
22,1
23,1
24,6
25,2
26,4
27,1
28,1
29,0
30,4
31,1
32,2
33,1
34,1
35,1
37,1
38,1
39,4
40,1
41,1
42,4
43,4
44,1
45,7
46,3
47,5
48,1
49,6
50,1
51,1
52,4
53,1
54,1
55,2
56,5
57,0
58,3
59,4
60,2
61,4
62,2
63,4
64,1
65,4
66,1
67,3
68,1
69,1
70,0
71,0
72,3
73,0
74,1
75,4
76,4
77,4
78,1
79,2
80,4
81,2
82,1
83,3
84,2
85,1
86,4
87,4
88,4
89,1
90,4
91,0
92,3
93,4
94,6
95,1
96,1
97,4
98,0
99,4
100,1
101,0
102,4
103,4
104,0
105,3
106,0
107,4
108,1
109,0
110,6
111,3
112,1
113,4
114,1
115,4
116,6
117,1
118,4
119,4
120,1
121,4
122,1
124,1
125,1
126,4
127,3
128,3
129,1
130,5
131,3
132,3
133,0
134,2
135,1
136,2
137,0
138,1
139,0
140,1
141,3
142,2
143,4
144,2
145,2
146,1
147,1
148,4
149,4
150,1
151,4
152,1
153,4
154,1
155,2
156,2
157,4
158,3
159,0
160,4
161,6
162,4
163,0
164,4
165,4
166,4
167,1
168,1
169,1
170,4
171,4
172,1
173,1
174,1
175,7
176,4
177,1
178,1
179,6
180,4
181,6
182,1
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,8
191,3
192,1
193,1
194,1
195,6
196,6
197,1
198,1
199,4
200,1
201,4
202,0
203,2
204,0
205,1
206,4
207,1
208,4
209,1
210,6
211,6
212,1
213,6
214,3
215,1
216,1
217,4
218,1
219,6
220,1
221,1
223,1
224,1
225,3
226,1
227,3
228,2
229,1
230,1
233,1
234,1
235,1
236,1
237,2
238,2
239,1
240,1
241,1
242,1
243,1
244,4
245,1
246,1
247,1
248,2
249,1
250,1
251,1
252,6
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,6
261,1
262,1
263,1
264,1
265,1
266,4
267,1
268,1
269,6
271,1
272,4
273,5
274,1
275,3
276,1
277,1
278,1
279,1
280,1
281,0
282,1
283,3
284,4
285,6
286,2
287,1
288,1
289,6
290,1
291,6
292,3
293,1
294,4
295,2
296,1
297,1
298,0
299,4
300,2
301,1
302,6
303,3
304,4
305,1
306,0
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,0
316,5
317,1
318,3
319,1
320,2
321,2
322,2
323,2
324,1
325,2
326,1
327,0
328,2
329,1
330,1
331,1
332,2
333,1
334,2
335,1
336,1
337,2
338,2
339,1
340,2
341,2
343,2
344,2
345,4
346,1
347,6
348,8
349,0
350,3
351,2
352,1
353,1
354,5
355,1
356,4
357,1
358,2
359,1
360,1
361,0
362,1
363,2
364,1
365,1
366,2
367,2
368,2
369,1
370,1
371,2
372,2
373,2
374,1
375,1
376,1
378,4
379,1
380,1
381,2
382,2
383,4
384,4
385,2
386,1
387,2
388,1
389,1
390,1
391,4
392,1
393,2
394,1
395,2
396,2
397,2
398,3
399,1
400,2
401,1
402,2
403,2
404,1
405,2
406,0
407,7
408,1
409,2
410,2
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,2
419,1
420,1
421,1
422,2
423,1
424,1
425,1
426,2
427,2
428,2
429,2
430,2
431,2
432,1
433,1
434,6
435,1
436,1
437,1
438,1
439,4
440,2
441,1
442,0
443,4
444,1
445,1
446,2
447,1
448,2
449,2
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,3
459,2
460,1
461,1
462,1
463,1
464,0
465,1
466,3
467,1
468,1
469,1
470,2
471,1
472,2
473,2
474,1
475,2
476,3
477,1
478,1
479,1
480,3
481,2
482,1
483,1
484,1
485,1
486,1
487,2
488,2
489,1
490,0
491,2
492,3
493,2
494,1
495,1
496,1
497,1
498,1
499,2
500,1
501,1
502,1
503,1
504,1
505,2
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,2
515,1
516,1
517,1
518,1
520,1
521,1
522,4
523,1
524,1
525,1
526,2
527,1
528,1
529,1
530,2
531,0
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,2
541,4
542,1
543,1
544,1
545,1
546,1
547,2
548,6
549,1
550,2
551,1
552,1
553,1
554,2
555,1
556,1
557,1
558,1
559,1
560,1
561,2
562,7
563,0
564,1
565,2
566,0
567,1
568,4
569,1
570,1
571,0
572,7
573,8
574,4
575,2
576,1
577,1
578,4
579,4
580,5
581,6
582,1
583,1
584,1
585,2
586,1
587,4
588,2
589,7
590,1
591,0
592,2
593,5
594,2
595,0
596,0
597,1
599,2
600,1
601,4
602,2
603,1
604,1
605,3
606,1
607,1
608,1
609,1
611,1
612,1
613,1
614,1
615,2
616,1
617,0
618,4
619,2
620,5
621,1
622,4
623,1
624,8
625,4
626,2
627,1
628,6
629,7
630,2
631,1
632,4
633,1
635,2
636,8
637,4
638,2
639,1
640,0
641,1
642,3
643,1
644,1
645,1
646,1
647,6
648,1
649,8
650,6
651,4
652,1
653,1
654,5
655,4
656,1
657,1
658,2
659,1
660,4
661,1
662,4
663,1
664,1
665,1
666,1
667,1
668,2
669,3
670,4
671,4
672,2
673,4
674,1
675,4
676,1
677,6
678,8
679,8
680,2
681,7
682,1
683,1
684,2
685,5
686,1
687,1
688,1
689,1
690,5
691,1
692,7
693,1
694,1
695,1
696,7
697,4
698,0
699,6
700,1
701,4
702,1
703,2
704,1
705,1
706,2
707,4
708,0
709,4
710,6
711,1
712,1
713,1
714,1
715,1
716,6
717,4
718,2
719,4
720,4
721,2
722,4
723,2
724,7
725,1
726,1
727,7
728,0
729,1
730,1
731,2
732,1
733,1
734,4
735,2
736,1
737,1
738,6
739,1
740,1
741,7
742,1
743,2
744,0
745,1
746,4
747,2
748,2
749,1
750,6
751,6
752,1
753,1
754,4
755,4
756,2
757,2
758,6
759,2
760,1
761,1
762,4
763,1
764,1
765,6
766,4
767,8
768,1
769,1
770,8
771,6
772,7
773,6
775,4
776,4
777,6
778,6
779,1
780,4
781,6
782,1
783,3
784,3
785,3
786,3
787,4
788,3
789,7
790,3
791,6
792,7
793,2
794,6
795,6
796,2
797,2
798,3
799,3
800,5
801,3
802,4
803,6
804,6
805,3
806,3
807,4
808,1
809,3
810,4
811,4
812,6
813,3
814,4
815,3
816,6
817,6
818,6
819,3
820,3
821,6
822,6
823,2
824,1
825,2
826,1
827,0
828,6
829,3
830,3
831,3
832,6
833,3
834,6
835,4
836,4
837,1
838,3
839,1
840,4
841,6
842,3
843,6
844,5
845,6
846,4
847,3
848,3
849,4
850,4
851,1
852,0
853,4
854,1
855,3
856,3
857,6
858,6
859,6
860,6
861,6
862,6
863,1
864,1
865,3
866,1
867,4
868,2
869,4
870,3
871,1
872,1
873,3
874,3
875,3
876,2
877,6
878,1
879,6
880,3
881,6
882,6
883,6
884,6
885,2
886,3
887,4
888,4
889,3
890,2
891,3
892,2
893,3
894,2
895,6
896,4
897,6
898,6
899,3
900,1
901,3
902,3
903,3
905,4
906,4
907,3
908,6
909,6
910,6
911,3
912,3
913,3
914,1
915,6
916,3
917,6
918,6
919,3
920,4
921,1
922,3
923,3
924,6
925,6
926,6
927,3
928,4
929,2
930,2
931,6
932,3
933,6
934,6
935,3
936,6
937,5
938,2
939,3
940,5
941,6
942,6
943,1
944,3
945,6
946,4
947,3
948,3
949,3
950,6
951,1
952,6
953,3
954,3
955,3
956,6
957,3
958,2
959,3
960,3
961,6
962,4
963,3
964,6
965,6
966,1
967,4
968,3
969,3
970,3
971,1
972,3
973,3
974,4
975,4
976,3
977,3
978,3
979,6
980,3
981,1
982,3
983,1
984,6
985,3
986,6
987,6
988,3
989,6
990,4
991,4
992,3
993,1
994,5
995,6
996,6
997,3
998,1
999,6
1000,6
1001,4
1002,1
1003,1
1004,1
1005,1
1006,0
1007,4
1008,1
1009,1
1010,1
1011,1
1012,5
1013,1
1014,1
1015,1
1016,2
1017,1
1018,1
1019,1
1020,1
1021,4
1022,1
1023,1
1024,5
1025,4
1026,1
1027,1
1028,1
1029,1
1030,1
1031,4
1032,1
1033,1
1034,8
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,4
1042,4
1043,4
1044,1
1045,4
1046,1
1047,7
1048,1
1049,1
1050,4
1051,1
1052,1
1053,3
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,0
1061,4
1062,0
1063,1
1064,4
1065,6
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1072,4
