,x
0,0
1,1
2,1
3,0
4,1
5,2
6,3
7,1
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,1
19,1
20,3
21,0
22,4
23,0
24,1
25,1
26,0
27,0
28,0
29,0
30,5
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,0
43,0
44,1
45,1
46,0
47,1
48,1
49,0
50,0
51,2
52,5
53,2
54,2
55,2
56,1
57,2
58,5
59,2
60,5
61,2
62,5
63,5
64,5
65,0
66,2
67,2
68,2
69,1
70,5
71,1
72,5
73,0
74,2
75,0
76,0
77,2
78,2
79,2
80,0
81,2
82,1
83,5
84,2
85,0
86,2
87,5
88,2
89,0
90,1
91,2
92,0
93,2
94,2
95,5
96,1
97,2
98,1
99,3
100,5
101,2
102,5
103,2
104,0
105,2
106,5
107,6
108,6
109,6
110,6
111,6
112,6
113,6
114,6
115,6
116,6
117,6
118,6
119,6
120,6
121,6
122,6
123,6
124,6
125,6
126,6
127,6
128,6
129,6
130,6
131,6
132,6
133,6
134,6
135,6
136,6
137,6
138,7
139,6
140,6
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,6
149,6
150,6
151,6
152,6
153,6
154,6
155,6
156,6
157,6
158,6
159,6
160,6
161,6
162,6
163,6
164,6
165,6
166,6
167,6
168,6
169,6
170,6
171,6
172,6
173,6
174,6
175,6
176,6
177,6
178,6
179,6
180,7
181,6
182,6
183,6
184,6
185,6
186,6
187,6
188,6
189,6
190,6
191,6
192,6
193,6
194,6
195,6
196,6
197,6
198,6
199,6
200,6
201,6
202,6
203,6
204,8
205,8
206,8
207,8
208,8
209,8
210,8
211,8
212,8
213,8
214,8
215,8
216,2
217,8
218,8
219,2
220,2
221,0
222,1
223,0
224,2
225,0
226,9
227,1
228,0
229,9
230,2
231,0
232,1
233,9
234,1
235,0
236,9
237,1
238,0
239,0
240,1
241,1
242,0
243,5
244,2
245,0
246,1
247,9
248,0
249,9
250,5
251,0
252,5
253,0
254,0
255,9
256,9
257,0
258,1
259,2
260,9
261,0
262,5
263,0
264,9
265,1
266,0
267,1
268,5
269,1
270,5
271,5
272,9
273,0
274,9
275,5
276,0
277,1
278,9
279,9
280,5
281,2
282,8
283,8
284,8
285,8
286,8
287,8
288,8
289,8
290,8
291,8
292,8
293,8
294,8
295,8
296,8
297,8
298,8
299,8
300,8
301,8
302,8
303,1
304,1
305,1
306,2
307,1
308,2
309,1
310,1
311,2
312,1
313,1
314,0
315,2
316,1
317,2
318,5
319,2
320,1
321,2
322,1
323,2
324,0
325,1
326,1
327,9
328,9
329,1
330,9
331,9
332,1
333,2
334,9
335,1
336,9
337,9
338,9
339,1
340,1
341,9
342,9
343,1
344,1
345,1
346,1
347,9
348,1
349,9
350,9
351,3
352,3
353,1
354,0
355,3
356,3
357,3
358,8
359,1
360,3
361,2
362,3
363,1
364,1
365,3
366,1
367,5
368,1
369,1
370,1
371,9
372,9
373,9
374,9
375,9
376,9
377,9
378,9
379,1
380,9
381,9
382,9
383,1
384,9
385,9
386,9
387,1
388,9
389,3
390,1
391,9
392,1
393,9
394,9
395,9
396,9
397,9
398,5
399,5
400,5
401,5
402,5
403,2
404,5
405,10
406,5
407,5
408,5
409,5
410,2
411,5
412,5
413,5
414,5
415,5
416,5
417,2
418,5
419,2
420,2
421,5
422,5
423,5
424,2
425,2
426,2
427,2
428,5
429,5
430,2
431,5
432,2
433,5
434,2
435,2
436,5
437,2
438,5
439,2
440,5
441,2
442,5
443,2
444,5
445,2
446,2
447,2
448,5
449,5
450,5
451,0
452,1
453,5
454,5
455,2
456,1
457,1
458,1
459,5
460,2
461,1
462,6
463,8
464,8
465,1
466,8
467,1
468,10
469,6
470,8
471,8
472,8
473,10
474,5
475,11
476,11
477,11
478,11
479,11
480,11
481,0
482,9
483,11
484,11
485,11
486,11
487,1
488,9
489,11
490,11
491,11
492,11
493,11
494,11
495,11
496,11
497,11
498,11
499,11
500,11
501,11
502,11
503,12
504,2
505,0
506,13
507,0
508,0
509,0
510,0
511,0
512,12
513,11
514,12
515,13
516,2
517,8
518,9
519,8
520,6
521,8
522,8
523,5
524,8
525,5
526,8
527,8
528,8
529,12
530,12
531,0
532,6
533,6
534,1
535,8
536,12
537,8
538,8
539,8
540,8
541,8
542,2
543,8
544,8
545,0
546,0
547,0
548,1
549,1
550,1
551,1
552,1
553,0
554,1
555,0
556,0
557,0
558,0
559,1
560,1
561,1
562,0
563,1
564,1
565,0
566,0
567,0
568,1
569,0
570,1
571,0
572,1
573,1
574,0
575,0
576,0
577,0
578,0
579,1
580,5
581,0
582,0
583,1
584,1
585,0
586,0
587,0
588,0
589,1
590,0
591,0
592,2
593,0
594,0
595,0
596,2
597,2
598,4
599,5
600,2
601,2
602,0
603,0
604,2
605,5
606,5
607,5
608,2
609,0
610,5
611,0
612,2
613,5
614,0
615,1
616,5
617,0
618,5
619,5
620,1
621,1
622,2
623,2
624,0
625,0
626,2
627,2
628,3
629,0
630,2
631,2
632,5
633,1
634,2
635,2
636,2
637,14
638,5
639,3
640,1
641,1
642,5
643,4
644,1
645,1
646,0
647,1
648,0
649,1
650,1
651,0
652,1
653,1
654,0
655,1
656,0
657,1
658,1
659,0
660,0
661,1
662,1
663,1
664,1
665,3
666,1
667,3
668,5
669,1
670,1
671,1
672,1
673,0
674,1
675,1
676,1
677,1
678,1
679,0
680,9
681,9
682,9
683,9
684,9
685,0
686,9
687,0
688,9
689,9
690,9
691,9
692,9
693,9
694,9
695,0
696,9
697,9
698,9
699,9
700,9
701,9
702,1
703,9
704,9
705,9
706,9
707,9
708,9
709,9
710,9
711,1
712,9
713,9
714,9
715,9
716,9
717,9
718,1
719,9
720,9
721,9
722,9
723,9
724,9
725,9
726,9
727,9
728,11
729,13
730,11
731,11
732,11
733,11
734,11
735,11
736,11
737,11
738,11
739,11
740,11
741,11
742,11
743,11
744,11
745,11
746,13
747,11
748,11
749,11
750,11
751,11
752,11
753,13
754,11
755,11
756,11
757,11
758,11
759,11
760,11
761,11
762,11
763,11
764,11
765,11
766,11
767,13
768,12
769,12
770,2
771,2
772,12
773,12
774,0
775,13
776,0
777,2
778,12
779,2
780,12
781,10
782,0
783,12
784,6
785,8
786,12
787,10
788,12
789,13
790,10
791,8
792,13
793,13
794,2
795,13
796,12
797,13
798,0
799,12
800,12
801,1
802,13
803,2
804,10
805,12
806,0
807,2
808,13
809,0
810,6
811,6
812,6
813,6
814,8
815,6
816,8
817,8
818,6
819,6
820,8
821,6
822,6
823,8
824,8
825,0
826,8
827,8
828,6
829,6
830,6
831,8
832,6
833,8
834,8
835,6
836,2
837,8
838,8
839,6
840,8
841,6
842,6
843,6
844,8
845,8
846,6
847,2
848,8
849,8
850,8
851,8
852,6
853,8
854,8
855,8
856,7
857,6
858,8
859,8
860,8
861,0
862,6
863,8
864,8
865,6
866,8
867,6
868,8
869,6
870,6
871,8
872,6
873,8
874,7
875,8
876,6
877,8
878,8
879,6
880,8
881,2
882,2
883,2
884,2
885,2
886,2
887,0
888,3
889,2
890,5
891,2
892,2
893,2
894,2
895,2
896,2
897,2
898,5
899,2
900,2
901,0
902,2
903,1
904,5
905,5
906,5
907,5
908,2
909,5
910,0
911,2
912,2
913,2
914,2
915,0
916,0
917,0
918,0
919,2
920,5
921,2
922,2
923,5
924,2
925,5
926,2
927,1
928,5
929,0
930,1
931,5
932,2
933,2
934,0
935,5
936,2
937,2
938,5
939,2
940,5
941,2
942,2
943,5
944,1
945,1
946,0
947,0
948,0
949,1
950,1
951,1
952,0
953,1
954,1
955,0
956,1
957,0
958,1
959,0
960,3
961,1
962,1
963,1
964,1
965,1
966,1
967,0
968,0
969,0
970,0
971,1
972,0
973,0
974,0
975,3
976,0
977,1
978,1
979,0
980,1
981,1
982,1
983,2
984,2
985,5
986,5
987,5
988,2
989,5
990,0
991,5
992,2
993,2
994,1
995,2
996,2
997,5
998,1
999,2
1000,2
1001,0
1002,1
1003,0
1004,5
1005,0
1006,0
1007,2
1008,1
1009,2
1010,0
1011,0
1012,1
1013,0
1014,0
1015,0
1016,0
1017,2
1018,1
1019,1
1020,0
1021,0
1022,1
1023,0
1024,1
1025,0
1026,1
1027,0
1028,1
1029,0
1030,0
1031,1
1032,0
1033,0
1034,1
1035,0
1036,0
1037,0
1038,1
1039,0
1040,0
1041,0
1042,1
1043,1
1044,0
1045,0
1046,1
1047,0
1048,1
1049,0
1050,3
1051,1
1052,0
1053,0
1054,0
1055,0
1056,1
1057,0
1058,1
1059,0
1060,1
